-4.17, 0.61
-4.16, 0.92
-4.11, 1.23
-4.02, 1.52
-3.85, 1.75
-3.6, 1.89
-3.3, 1.94
-2.95, 2.07
-2.97, 2.38
-2.95, 2.7
-2.92, 3.01
-2.85, 3.31
-2.72, 3.58
-2.55, 3.84
-2.34, 4.04
-2.1, 4.07
-1.84, 3.92
-1.58, 3.73
-1.34, 3.53
-1.03, 3.32
-0.72, 3.37
-0.41, 3.39
-0.09, 3.41
0.23, 3.41
0.54, 3.39
0.89, 3.49
1.05, 3.75
1.25, 4.0
1.47, 4.19
1.73, 4.28
2.0, 4.22
2.23, 4.05
2.4, 3.8
2.53, 3.52
2.63, 3.22
2.69, 2.91
2.73, 2.6
2.72, 2.3
3.09, 2.17
3.39, 2.1
3.65, 1.96
3.86, 1.75
4.0, 1.49
4.09, 1.19
4.13, 0.89
4.14, 0.57
4.12, 0.26
4.07, -0.05
3.99, -0.35
3.88, -0.65
3.75, -0.93
3.59, -1.2
3.41, -1.46
3.22, -1.71
3.0, -1.94
2.96, -2.29
3.07, -2.59
3.14, -2.89
3.14, -3.18
3.03, -3.44
2.82, -3.64
2.54, -3.74
2.24, -3.78
1.93, -3.76
1.63, -3.7
1.35, -3.58
1.1, -3.4
0.89, -3.18
0.54, -3.11
0.22, -3.13
-0.1, -3.13
-0.41, -3.12
-0.64, -3.41
-0.82, -3.66
-1.04, -3.88
-1.29, -4.05
-1.57, -4.18
-1.88, -4.23
-2.2, -4.19
-2.46, -4.06
-2.7, -3.86
-2.86, -3.62
-2.94, -3.34
-2.93, -3.04
-2.84, -2.76
-2.68, -2.5
-2.86, -2.18
-3.07, -1.95
-3.27, -1.7
-3.45, -1.44
-3.61, -1.17
-3.76, -0.89
-3.89, -0.61
-4.0, -0.31
-4.08, -0.01
-4.14, 0.3
