-4.11, 0.24
-4.1, 0.13
-4.08, 0.0
-4.06, -0.11
-4.03, -0.23
-4.0, -0.35
-3.97, -0.46
-3.93, -0.58
-3.9, -0.69
-3.85, -0.8
-3.81, -0.91
-3.76, -1.03
-3.71, -1.14
-3.6, -1.18
-3.49, -1.21
-3.37, -1.22
-3.25, -1.23
-3.13, -1.24
-3.01, -1.25
-2.89, -1.26
-2.77, -1.26
-2.65, -1.26
-2.53, -1.26
-2.41, -1.25
-2.29, -1.25
-2.17, -1.25
-2.05, -1.24
-1.93, -1.24
-1.81, -1.23
-1.69, -1.23
-1.57, -1.22
-1.45, -1.21
-1.33, -1.2
-1.22, -1.23
-1.12, -1.28
-1.01, -1.33
-0.89, -1.37
-0.77, -1.39
-0.65, -1.4
-0.53, -1.38
-0.42, -1.34
-0.31, -1.34
-0.21, -1.4
-0.1, -1.44
0.02, -1.48
0.14, -1.51
0.25, -1.52
0.38, -1.53
0.49, -1.53
0.61, -1.51
0.73, -1.48
0.84, -1.44
0.95, -1.39
1.06, -1.33
1.16, -1.27
1.28, -1.26
1.4, -1.26
1.52, -1.26
1.64, -1.26
1.76, -1.26
1.88, -1.26
2.0, -1.25
2.12, -1.25
2.24, -1.25
2.36, -1.24
2.48, -1.24
2.6, -1.23
2.72, -1.22
2.84, -1.22
2.96, -1.21
3.08, -1.19
3.2, -1.17
3.31, -1.12
3.41, -1.06
3.52, -1.0
3.61, -0.93
3.7, -0.85
3.79, -0.76
3.86, -0.67
3.92, -0.56
3.98, -0.46
4.02, -0.34
4.05, -0.23
4.07, -0.11
4.09, 0.01
4.09, 0.13
4.09, 0.25
4.07, 0.37
4.05, 0.48
4.03, 0.6
4.0, 0.72
3.96, 0.83
3.92, 0.95
3.88, 1.06
3.83, 1.17
-3.62, 1.56
-3.7, 1.47
-3.77, 1.37
-3.84, 1.27
-3.9, 1.17
-3.96, 1.06
-4.01, 0.95
-4.04, 0.84
-4.07, 0.72
-4.1, 0.6
-4.11, 0.48
-4.11, 0.36
